Date,Price,Open,High,Low,Vol.,Change %
"Dec 17, 2019","6,847.30","6,849.70","6,871.30","6,839.10",631.59M,-0.04%
"Dec 16, 2019","6,849.70","6,741.60","6,866.10","6,741.60",650.90M,1.63%
"Dec 13, 2019","6,739.70","6,708.80","6,753.10","6,708.80",646.00M,0.46%
"Dec 12, 2019","6,708.80","6,752.60","6,753.00","6,701.20",630.71M,-0.65%
"Dec 11, 2019","6,752.60","6,706.90","6,752.60","6,706.90",638.30M,0.68%
"Dec 10, 2019","6,706.90","6,730.00","6,734.30","6,702.90",473.10M,-0.34%
"Dec 09, 2019","6,730.00","6,707.00","6,740.00","6,707.00",505.30M,0.34%
"Dec 06, 2019","6,707.00","6,683.00","6,712.30","6,681.80",477.90M,0.36%
"Dec 05, 2019","6,683.00","6,606.50","6,684.60","6,606.50",572.13M,1.16%
"Dec 04, 2019","6,606.50","6,712.30","6,712.30","6,590.10",779.90M,-1.58%
"Dec 03, 2019","6,712.30","6,862.30","6,862.30","6,703.70",700.73M,-2.19%
"Dec 02, 2019","6,862.30","6,846.00","6,890.00","6,840.60",494.43M,0.24%
"Nov 29, 2019","6,846.00","6,864.00","6,893.70","6,846.00",543.50M,-0.26%
"Nov 28, 2019","6,864.00","6,850.60","6,879.50","6,850.60",509.66M,0.20%
"Nov 27, 2019","6,850.60","6,787.50","6,852.10","6,787.50",618.47M,0.93%
"Nov 26, 2019","6,787.50","6,731.40","6,797.60","6,731.40",1.08B,0.83%
"Nov 25, 2019","6,731.40","6,712.00","6,758.00","6,712.00",520.99M,0.32%
"Nov 22, 2019","6,709.80","6,672.90","6,725.10","6,672.90",522.52M,0.55%
"Nov 21, 2019","6,672.90","6,722.40","6,722.40","6,637.30",710.32M,-0.74%
"Nov 20, 2019","6,722.40","6,814.20","6,814.20","6,714.90",663.71M,-1.35%
"Nov 19, 2019","6,814.20","6,766.80","6,814.20","6,755.00",562.17M,0.70%
"Nov 18, 2019","6,766.80","6,793.70","6,799.20","6,749.10",429.23M,-0.40%
"Nov 15, 2019","6,793.70","6,735.10","6,798.70","6,735.10",552.23M,0.87%
"Nov 14, 2019","6,735.10","6,698.40","6,744.80","6,687.70",671.03M,0.55%
"Nov 13, 2019","6,698.40","6,753.00","6,766.20","6,698.30",613.36M,-0.81%
"Nov 12, 2019","6,753.00","6,772.50","6,779.30","6,730.90",635.88M,-0.29%
"Nov 11, 2019","6,772.50","6,724.10","6,772.50","6,717.30",550.68M,0.72%
"Nov 08, 2019","6,724.10","6,726.60","6,742.20","6,706.10",666.79M,-0.04%
"Nov 07, 2019","6,726.60","6,660.20","6,727.70","6,659.70",613.24M,1.00%
"Nov 06, 2019","6,660.20","6,697.10","6,715.20","6,658.20",639.74M,-0.55%
"Nov 05, 2019","6,697.10","6,686.90","6,725.90","6,678.90",481.99M,0.15%
"Nov 04, 2019","6,686.90","6,669.10","6,713.50","6,669.10",516.82M,0.27%
"Nov 01, 2019","6,669.10","6,663.40","6,671.70","6,634.70",555.31M,0.09%
"Oct 31, 2019","6,663.40","6,689.50","6,689.50","6,639.80",636.03M,-0.39%
"Oct 30, 2019","6,689.50","6,745.40","6,745.40","6,680.20",598.22M,-0.83%
"Oct 29, 2019","6,745.40","6,740.70","6,761.50","6,735.70",581.96M,0.07%
"Oct 28, 2019","6,740.70","6,739.90","6,766.20","6,739.80",486.26M,0.02%
"Oct 25, 2019","6,739.20","6,693.60","6,741.50","6,693.60",626.99M,0.68%
"Oct 24, 2019","6,693.60","6,673.10","6,715.20","6,673.10",559.64M,0.31%
"Oct 23, 2019","6,673.10","6,672.20","6,673.20","6,635.70",557.23M,0.01%
"Oct 22, 2019","6,672.20","6,652.50","6,680.40","6,648.30",577.40M,0.30%
"Oct 21, 2019","6,652.50","6,649.70","6,652.50","6,612.40",506.49M,0.04%
"Oct 18, 2019","6,649.70","6,684.70","6,684.70","6,633.90",633.43M,-0.52%
"Oct 17, 2019","6,684.70","6,736.50","6,737.40","6,681.40",921.00M,-0.77%
"Oct 16, 2019","6,736.50","6,652.00","6,737.80","6,652.00",626.54M,1.27%
"Oct 15, 2019","6,652.00","6,642.60","6,657.40","6,621.90",504.85M,0.14%
"Oct 14, 2019","6,642.60","6,606.80","6,676.20","6,606.80",489.30M,0.54%
"Oct 11, 2019","6,606.80","6,547.10","6,614.60","6,547.10",526.91M,0.91%
"Oct 10, 2019","6,547.10","6,546.70","6,570.90","6,529.30",549.84M,0.01%
"Oct 09, 2019","6,546.70","6,593.40","6,593.40","6,520.30",504.31M,-0.71%
"Oct 08, 2019","6,593.40","6,563.60","6,601.20","6,563.60",476.48M,0.45%
"Oct 07, 2019","6,563.60","6,517.10","6,564.90","6,517.10",272.77M,0.71%
"Oct 04, 2019","6,517.10","6,493.00","6,532.70","6,489.90",473.32M,0.37%
"Oct 03, 2019","6,493.00","6,639.90","6,639.90","6,475.40",702.53M,-2.21%
"Oct 02, 2019","6,639.90","6,742.80","6,742.80","6,639.80",618.75M,-1.53%
"Oct 01, 2019","6,742.80","6,688.30","6,743.70","6,687.80",612.74M,0.81%
"Sep 30, 2019","6,688.30","6,715.90","6,734.70","6,688.30",611.59M,-0.41%
"Sep 27, 2019","6,716.10","6,677.60","6,721.20","6,677.60",606.27M,0.58%
"Sep 26, 2019","6,677.60","6,710.20","6,720.80","6,667.10",594.82M,-0.49%
"Sep 25, 2019","6,710.20","6,748.90","6,748.90","6,696.30",650.52M,-0.57%
"Sep 24, 2019","6,748.90","6,749.70","6,764.00","6,745.30",596.96M,-0.01%
"Sep 23, 2019","6,749.70","6,730.80","6,770.00","6,730.80",506.70M,0.28%
"Sep 20, 2019","6,730.80","6,717.50","6,775.60","6,717.50",1.25B,0.20%
"Sep 19, 2019","6,717.50","6,681.60","6,742.90","6,681.60",997.44M,0.54%
"Sep 18, 2019","6,681.60","6,695.30","6,703.30","6,673.80",758.36M,-0.20%
"Sep 17, 2019","6,695.30","6,673.50","6,695.30","6,649.10",745.94M,0.33%
"Sep 16, 2019","6,673.50","6,669.20","6,688.50","6,646.60",750.73M,0.06%
"Sep 13, 2019","6,669.20","6,654.90","6,676.50","6,653.70",673.88M,0.21%
"Sep 12, 2019","6,654.90","6,638.00","6,687.40","6,638.00",662.65M,0.25%
"Sep 11, 2019","6,638.00","6,614.10","6,638.40","6,614.10",811.43M,0.36%
"Sep 10, 2019","6,614.10","6,648.00","6,654.80","6,595.70",746.33M,-0.51%
"Sep 09, 2019","6,648.00","6,647.30","6,659.70","6,631.20",542.93M,0.01%
"Sep 06, 2019","6,647.30","6,613.20","6,656.10","6,613.20",702.57M,0.52%
